"date","province","retail_and_recreation","grocery_and_pharmacy","park","transit","workplace","resident"
"2022-02-08",Bangka Belitung Islands,17,34,26,11,-2,-2
"2022-02-09",Bangka Belitung Islands,8,28,23,1,-2,-1
"2022-02-10",Bangka Belitung Islands,10,31,16,-6,-1,0
"2022-02-11",Bangka Belitung Islands,8,32,13,-15,4,0
"2022-02-12",Bangka Belitung Islands,6,26,24,-3,-3,0
"2022-02-13",Bangka Belitung Islands,5,31,29,-6,-6,3
"2022-02-14",Bangka Belitung Islands,11,34,27,-13,-1,-2
"2022-02-15",Bangka Belitung Islands,10,30,28,-7,-4,-2
"2022-02-16",Bangka Belitung Islands,2,25,19,-13,-3,0
"2022-02-17",Bangka Belitung Islands,4,25,10,-19,-4,1
"2022-02-18",Bangka Belitung Islands,3,29,13,-18,-1,2
"2022-02-19",Bangka Belitung Islands,1,26,18,-7,-2,3
"2022-02-20",Bangka Belitung Islands,5,32,37,-15,-6,4
"2022-02-21",Bangka Belitung Islands,6,30,31,-17,-5,1
"2022-02-22",Bangka Belitung Islands,8,29,29,-12,-6,0
"2022-02-23",Bangka Belitung Islands,0,27,28,-19,-5,2
"2022-02-24",Bangka Belitung Islands,9,37,38,-12,-4,3
"2022-02-25",Bangka Belitung Islands,6,41,29,-12,-1,4
"2022-02-26",Bangka Belitung Islands,3,32,28,1,1,5
"2022-02-27",Bangka Belitung Islands,5,34,39,-15,-4,6
"2022-02-28",Bangka Belitung Islands,11,36,75,-4,-51,11
"2022-03-01",Bangka Belitung Islands,13,40,42,-10,-5,5
"2022-03-02",Bangka Belitung Islands,8,38,40,-14,-5,5
"2022-03-03",Bangka Belitung Islands,14,43,65,-6,-48,14
"2022-03-04",Bangka Belitung Islands,10,49,43,-24,5,11
"2022-03-05",Bangka Belitung Islands,3,34,32,-6,4,13
"2022-03-06",Bangka Belitung Islands,6,42,42,-7,7,13
"2022-03-07",Bangka Belitung Islands,6,37,45,-9,5,12
"2022-03-08",Bangka Belitung Islands,19,48,71,-2,6,11
"2022-03-09",Bangka Belitung Islands,14,49,75,-4,10,14
